transcript_id	sample_id	em_count	unique_count	total_count	certainty	multimapping_rate	tpm	gene_id	is_novel	tx_length
ENST00000000001	LR_sample	12500	8750	12500	0.9	0.1	250000	ENSG001	FALSE	1200
ENST00000000002	LR_sample	6000	4200	6000	0.85	0.15	120000	ENSG001	FALSE	800
ENST00000000003	LR_sample	3000	2100	3000	0.8	0.2	60000	ENSG001	FALSE	600
ENST00000000004	LR_sample	9000	6300	9000	0.88	0.12	180000	ENSG002	FALSE	2000
ENST00000000005	LR_sample	4500	3150	4500	0.82	0.18	90000	ENSG002	FALSE	1500
ENST00000000006	LR_sample	2500	1750	2500	0.78	0.22	50000	ENSG002	FALSE	900
ENST00000000007	LR_sample	5000	3500	5000	0.72	0.28	1e+05	ENSG003	FALSE	3500
ENST00000000008	LR_sample	3500	2450	3500	0.91	0.09	70000	ENSG003	FALSE	400
novel.1	LR_sample	2500	1750	2500	0.55	0.45	50000	ENSG004	TRUE	1100
novel.2	LR_sample	1500	1050	1500	0.45	0.55	30000	ENSG004	TRUE	700
